t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,iq_ref
0,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.00464105132025594,-0.00464105132025594,-0.0557772798034009,-0.027848879358281,0,0,0,0,0.39,9.68773413455456,0
0.01,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.02,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.03,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.04,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.05,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.06,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.07,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.08,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
0.09,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00171221259450057,0.00633616940633159,0.0344905515284016,0.0519332925881426,-2.62011914539939,-0.144963141214248,-570.231590062548,-0.144963141214248,0.39,9.68773413455456,-0.00464105132025594
